,decada,actor,puntuacion,numpelis,rankdecada
0,2010,Leonardo DiCaprio,7.21,8,1
1,2010,Tom Hardy,6.77,11,2
2,2010,Christian Bale,6.76,8,3
3,2010,Benedict Cumberbatch,6.71,13,4
4,2010,John Hawkes,6.67,6,5
5,2010,Sarah Paulson,6.64,6,6
6,2010,Robin Wright,6.6,7,7
7,2010,Ricardo Darín,6.59,6,8
8,2010,Bruce Dern,6.59,6,8
9,2010,Mark Ruffalo,6.57,13,9
10,2010,Chris Evans,6.57,12,9
11,2010,Kyle Chandler,6.56,10,10
12,2000,Elijah Wood,7.28,9,1
13,2000,Ricardo Darín,7.19,6,2
14,2000,Russell Crowe,7.16,8,3
15,2000,Andy Serkis,7.07,6,4
16,2000,Ian McKellen,6.96,7,5
17,2000,Manuel Morón,6.94,6,6
18,2000,Lucy Liu,6.91,6,7
19,2000,Cara Seymour,6.9,6,8
20,2000,Orlando Bloom,6.88,9,9
21,2000,Kate Winslet,6.84,10,10
22,1990,Sean Penn,7.2,6,1
23,1990,Kevin Spacey,7.17,9,2
24,1990,Al Pacino,7.1,10,3
25,1990,John Turturro,7.05,9,4
26,1990,Robert De Niro,6.98,14,5
27,1990,Brad Pitt,6.98,13,5
28,1990,Johnny Depp,6.97,8,6
29,1990,Chete Lera,6.96,6,7
30,1990,Juliette Lewis,6.89,6,8
31,1990,Giancarlo Esposito,6.87,6,9
32,1990,Matt Damon,6.83,8,10
33,1980,Harrison Ford,7.56,8,1
34,1980,Robert De Niro,7.2,9,2
35,1980,Mia Farrow,6.92,6,3
36,1980,Bob Hoskins,6.91,6,4
37,1980,Sean Connery,6.87,8,5
38,1980,Max von Sydow,6.78,6,6
39,1980,Jack Nicholson,6.74,9,7
40,1980,John Cleese,6.67,6,8
41,1980,Agustín González,6.65,9,9
42,1980,Willem Dafoe,6.62,7,10
43,1970,Diane Keaton,7.87,8,1
44,1970,Robert De Niro,7.56,7,2
45,1970,Robert Duvall,7.55,7,3
46,1970,Woody Allen,7.52,6,4
47,1970,Donald Sutherland,6.9,7,5
48,1970,Faye Dunaway,6.71,6,6
49,1970,Sean Connery,6.7,8,7
50,1970,Michael Caine,6.69,6,8
51,1970,Clint Eastwood,6.67,8,9
52,1970,Fernando Rey,6.36,7,10
53,1960,Tatsuya Nakadai,7.92,6,1
54,1960,Burt Lancaster,7.68,7,2
55,1960,Kei Sato,7.67,6,3
56,1960,Takashi Shimura,7.59,6,4
57,1960,Jeanne Moreau,7.46,8,5
58,1960,Paul Newman,7.43,7,6
59,1960,Toshirô Mifune,7.34,8,7
60,1960,Claudia Cardinale,7.31,8,8
61,1960,Charles Bronson,7.29,6,9
62,1960,Henry Fonda,7.25,6,10
63,1950,Takashi Shimura,7.88,6,1
64,1950,Toshirô Mifune,7.77,7,2
65,1950,James Stewart,7.46,7,3
66,1950,Kirk Douglas,7.4,9,4
67,1950,Deborah Kerr,7.35,6,5
68,1950,Marlon Brando,7.2,7,6
69,1950,James Mason,7.19,6,7
70,1950,William Holden,7.17,9,8
71,1950,Leo G. Carroll,7.07,6,9
72,1950,George Sanders,6.99,6,10
73,1940,Gene Lockhart,7.31,7,1
74,1940,Humphrey Bogart,7.27,6,2
75,1940,Gary Cooper,7.24,7,3
76,1940,Ward Bond,7.2,9,4
77,1940,Cary Grant,7.1,11,5
78,1940,Raymond Massey,7.09,6,6
79,1940,Walter Huston,7.07,7,7
80,1940,George Tobias,7.01,8,8
81,1940,Claude Rains,7.0,7,9
82,1940,Henry Daniell,6.96,8,10
83,1930,Lionel Barrymore,7.46,6,1
84,1930,Edward Everett Horton,7.36,8,2
85,1930,Jean Gabin,7.3,9,3
86,1930,Louis Jouvet,7.25,6,4
87,1930,Claudette Colbert,7.23,6,5
88,1930,Ward Bond,7.21,7,6
89,1930,Melvyn Douglas,7.14,6,7
90,1930,C. Aubrey Smith,7.13,6,8
91,1930,Walter Connolly,7.1,6,9
92,1930,Cary Grant,7.08,7,10
93,1920,Rudolf Klein-Rogge,7.76,7,1
94,1920,Buster Keaton,7.75,9,2
95,1920,Snitz Edwards,7.32,6,3
96,1920,Emil Jannings,7.25,8,4
